,Area,BHK,Bathroom,Alaknanda,Budh Vihar,Chittaranjan Park,Dilshad Garden,Dwarka Sector,Kailash Colony,Lajpat Nagar,Laxmi Nagar,Rohini Sector,Saket,Sarita Vihar,Yamuna Vihar
0,800.0,3,2.0,0,0,0,0,0,0,0,0,1,0,0,0
1,750.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
2,950.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
3,600.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
4,650.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
5,1300.0,4,3.0,0,0,0,0,0,0,0,0,1,0,0,0
6,1350.0,4,3.0,0,0,0,0,0,0,0,0,1,0,0,0
7,650.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
8,985.0,3,3.0,0,0,0,0,0,0,0,0,1,0,0,0
9,1300.0,4,4.0,0,0,0,0,0,0,0,0,1,0,0,0
10,1100.0,3,2.0,0,0,0,0,0,0,0,0,1,0,0,0
11,870.0,3,2.0,0,0,0,0,0,0,0,0,1,0,0,0
12,630.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
13,660.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
14,344.4448,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
15,660.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
16,550.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
17,1100.0,4,3.0,0,0,0,0,0,0,0,0,1,0,0,0
18,1150.0,3,3.0,0,0,0,0,0,0,0,0,1,0,0,0
19,650.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
20,850.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
21,900.0,3,2.0,0,0,0,0,0,0,0,0,1,0,0,0
22,430.556,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0
23,900.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
24,914.9315,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
25,1100.0,3,3.0,0,0,0,0,0,0,0,0,1,0,0,0
26,800.0,3,2.0,0,0,0,0,0,0,0,0,1,0,0,0
27,500.0,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0
28,28.0,2,2.0,0,0,0,0,0,0,0,0,1,0,0,0
29,2160.0,4,4.0,0,0,0,0,0,0,0,0,1,0,0,0
30,1500.0,1,2.556085918854415,0,0,0,0,0,0,1,0,0,0,0,0
31,800.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
32,900.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
33,1080.0,3,2.0,0,0,0,0,0,0,1,0,0,0,0,0
34,750.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
35,1450.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
36,900.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
37,810.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
38,1350.0,3,4.0,0,0,0,0,0,0,1,0,0,0,0,0
39,1710.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
40,1650.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
41,1280.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
